ID,Name in English,Countries,Country codes alpha 3,Degree of endangerment,Number of speakers,Latitude,Longitude,Description of the location
2283,Orang Hulu,Malaysia,MYS,Definitely endangered,10000,1.8871,103.984,
1718,Otoro,Sudan,SDN,Severely endangered,10000,11.1864,30.6353,
461,Solon,China,CHN,Definitely endangered,10000,48.166,119.4873,Morin Dawa Daur and Ewenki autonomous banners and adjacent areas of neighbouring banners in Hulun Buir League of Inner Mongolia as well as Nahe (Nehe) County of Heilongjiang Province
2440,Southern Tujia,China,CHN,Severely endangered,10000,28.258,109.9398,
2331,Taba,Indonesia,IDN,Vulnerable,10000,0.0659,127.4084,Maluku
2410,Talu,China,CHN,Vulnerable,10000,26.5623,102.8506,
718,Tamazight (Tunisia),Tunisia,TUN,Severely endangered,10000,36.0313,9.8767,"The language is spoken on the island of Djerba (Adjin Guellala, Sadouikech, Elmal, Mahboubine, Sedghiane)  and in a few southern villages between Gafsa and the Libyan border. including Matmata (Zraoua, Taoujjout, Tamezret), Tataouine (Chouini, Douiret), Médenine, Kebili, Tozeur.
These villages numbered 13 in the 1950s and 1960s (Basset, Penchoen) but the data was even then inaccurate.
Recent claims (eg Congres Mondial Amazigh) suggest the existence of other, unaccounted linguistic communities in the North and near the Algerian border ((Monts de Tebessa, El Kef, Siliana) but there is no tangible evidence, although the claim is not implausible.


"
2027,Tayal,China,CHN,Vulnerable,10000,24.5458,121.3591,Taiwan Province
1723,Temein,Sudan,SDN,Severely endangered,10000,11.8377,29.4625,"Temein hills southwest of Dilling, between Jebels Ghulfan Morung and Julud (Gulud). "
2296,Temiar,Malaysia,MYS,Definitely endangered,10000,4.9493,101.4113,
1079,Trukhmen,"Russian Federation, Turkmenistan","RUS, TKM",Definitely endangered,10000,44.4886,44.5385,mainly the north-eastern parts of Stavropol’ Region; an outlying dialect of Turkmen not listed at all by the SIL
120,Vidunda,United Republic of Tanzania,TZA,Vulnerable,10000,-6.8664,37.304,
291,Kogui,Colombia,COL,Vulnerable,9911,10.8548,-74.0258,"Sierra Nevada de Santa Marta: northern section. Departments of Magdalena, César and La Guajira"
1297,Paloor,Senegal,SEN,Vulnerable,9680,14.7801,-16.8035,2007
1780,Awakatek (Guatemala),Guatemala,GTM,Vulnerable,9613,15.3429,-91.312,"Aguacatán, western Huehuetenango department"
1541,Choctaw (Louisiana),United States of America,USA,Vulnerable,9500,31.6822,-92.1252,"Various locations in Mississippi, Oklahoma, and Louisiana.  Louisiana Choctaw speakers are found in two small state-recognized tribes, the Clifton Choctaws and the Jena Band. The Mississippi Band of Choctaws live in seven small communities scattered throughout the state ( tribal headquarters in Philadelphia, MI).  The Choctaw Nation of Oklahoma is widely dispersed with many tribal members living outside the state.   (Clifton, LA is at  Lat. N 31/18/17, Long. W 92/52/12.)"
896,Choctaw (Mississipi),United States of America,USA,Vulnerable,9500,32.7713,-89.1163,"Various locations in Mississippi, Oklahoma, and Louisiana.  The Mississippi Band of Choctaws live in seven small communities scattered throughout the state ( tribal headquarters in Philadelphia, MI).  The Choctaw Nation of Oklahoma is widely dispersed with many tribal members living outside the state.   Louisiana Choctaw speakers are found in two small state-recognized tribes, the Clifton Choctaws and the Jena Band. "
1542,Choctaw (Oklahoma),United States of America,USA,Vulnerable,9500,34.1472,-94.81,"Various locations in Mississippi, Oklahoma, and Louisiana.  The Choctaw Nation of  southeastern Oklahoma (centered in McCurtain County) is widely dispersed with many tribal members living outside the state.  The Mississippi Band of Choctaws live in seven small communities scattered throughout the state ( tribal headquarters in Philadelphia, MI).   Louisiana Choctaw speakers are found in two small state-recognized tribes, the Clifton Choctaws and the Jena Band."
1850,Gawar-Bati,"Pakistan, Afghanistan","PAK, AFG",Definitely endangered,9500,35.158,71.4083,"Kunar Valley, Afghanistan; Arandu, Southern Chitral, Pakistan"
2259,Taruang,"China, India, Myanmar","CHN, IND, MMR",Vulnerable,9332,28.12,95.88,
1088,Khaling,Nepal,NPL,Definitely endangered,9288,27.5781,86.7163,Solukhumbu district
1485,Western Tarahumara,Mexico,MEX,Vulnerable,9196,27.3361,-108.5007,"Municipalities of Chínipas, Maguarichi, Rocoroibo, Urique and Uruachi in the state of Chihuahua"
2362,Nunavimmiutitut,Canada,CAN,Vulnerable,9105,58.1665,-68.3605,Spread over 15 communities in Canada
275,Woods Cree,Canada,CAN,Vulnerable,9095,55.1711,-102.9061,Spread over 24 communities in Canada
2244,Phula (Viet Nam),Viet Nam,VNM,Definitely endangered,9046,22.7833,105.4666,
1085,Dol-po,Nepal,NPL,Definitely endangered,9000,29.2193,83.0676,Dolpa district up to Tibetan border
2581,Helong,Indonesia,IDN,Severely endangered,9000,-10.1905,123.5247,Timor
2337,Lisela,Indonesia,IDN,Vulnerable,9000,-3.2392,127.0239,Maluku
1219,Motuo Menba,"China, India","CHN, IND",Definitely endangered,9000,28.664,94.0347,"Arunachal Pradesh, West Siang Dt., esp. in and around Menchuka "
1889,Panamahka,Nicaragua,NIC,Vulnerable,9000,14.2856,-84.5947,Community of Musawas
880,Zuni,United States of America,USA,Vulnerable,9000,35.082,-108.76,Zuni Pueblo in western New Mexico.
1750,Mopán (Belize),Belize,BLZ,Severely endangered,8980,16.2449,-88.8654,"Toledo, Stann Creek, Cayo"
1728,Tulishi,Sudan,SDN,Severely endangered,8628,11.5984,29.0917,
1016,Central Cuicatec,Mexico,MEX,Vulnerable,8621,17.8,-96.961,"Several municipalities in the state of Oaxaca, among them: Concepción Pápalo, San Juan Bautista Cuicatlán,  San Juan Tepeuxila, San Pedro Sochiapan, Santa María Pápalo, and Santos Reyes Pápalo"
1685,Ts'amay,Ethiopia,ETH,Definitely endangered,8621,5.4382,37.2463,
1604,Phalura,Pakistan,PAK,Definitely endangered,8600,35.7264,71.7434,"Eight villages in Sourthern Chitral, near Drosh, NWFP, Pakistan"
1268,Northern Popoloc,Mexico,MEX,Vulnerable,8597,18.6818,-97.658,"Municipality of Tlacotepec de Benito Juárez, state of Puebla"
1274,Ixcatlán Mazatec,Mexico,MEX,Vulnerable,8593,18.1447,-96.4855,"Municipality of San Pedro Ixcatlán, state of Oaxaca"
918,Patla-Chicontla Totonac,Mexico,MEX,Severely endangered,8590,20.1644,-97.6927,"Patla, Chicontla, San Pedro Tlaolantongo in the municipality of Jopala, state of Puebla; Zihuatleutla, state of Puebla"
1647,Toram,Chad,TCD,Severely endangered,8456,11.1581,19.6023,
994,Northwestern Tlapanec,Mexico,MEX,Vulnerable,8409,17.5595,-98.9332,"Municipality of Atlixtac, state of Guerrero"
271,Dene,Canada,CAN,Vulnerable,8195,56.4807,-109.4127,Spread over 28 communities in Canada
1526,Micmac (Massachusetts),United States of America,USA,Definitely endangered,8145,42.3589,-71.0578,"The majority of U.S. speakers live in the Boston, Massachusetts area; Canadian communities are Restigouche, Quebec; Big Cove, New Brunswick; and Eskasoni,  Nova Scotia."
88,Argobba,Ethiopia,ETH,Critically endangered,8000,10.5958,39.9792,
708,Austral dialects,French Polynesia (France),PYF,Definitely endangered,8000,-23.3775,-149.4909,"Austral Islands (Rurutu, Tupuai, Rimatara, Raivavae)"
1693,Belanda Bor,Sudan,SDN,Definitely endangered,8000,6.4954,27.7404,
1701,Feroge,Sudan,SDN,Vulnerable,8000,8.5049,25.7189,
1980,Hachijō,Japan,JPN,Definitely endangered,8000,33.11,139.7891,the Hachijō and Aogashima Islands of the Izu Archipelago south of Tokyo; an outlying dialect of Japanese not listed at all by the SIL
1853,Inga,Colombia,COL,Severely endangered,8000,1.1658,-77.0011,"Sibundoy Valley in and around Santiago, San Andrés and Colón; Aponte (Department of Nariño)"
67,Kanga,Sudan,SDN,Severely endangered,8000,10.844,29.4708,
2424,Lajia,China,CHN,Definitely endangered,8000,23.7439,110.0526,
1255,Lakha,Bhutan,BTN,Definitely endangered,8000,27.5898,90.3735,’Wangdi Phodr’a district
2187,Mbya Guarani (Paraguay),Paraguay,PRY,Definitely endangered,8000,-26.5099,-55.2832,
1675,Mundurukú,Brazil,BRA,Vulnerable,8000,-8.1027,-57.3486,
767,Ojibwe,United States of America,USA,Severely endangered,8000,46.0706,-93.6677,"Spoken in the states of Minnesota, Wisconsin, and Michigan."
586,Quichua (Salasaca),Ecuador,ECU,Definitely endangered,8000,-1.3511,-78.6511,"Province of Tungurahua (Central Highlands), San Pedro de Pelileo county, García Moreno and  Salasaca Parishes"
1182,Rongpo,India,IND,Vulnerable,8000,30.7229,79.7387,"Uttarakhand, Chamoli dt. "
557,Sanyi,China,CHN,Severely endangered,8000,24.9262,102.5134,
2284,Temuan,Malaysia,MYS,Severely endangered,8000,3.3709,101.984,
1726,Tingal,Sudan,SDN,Definitely endangered,8000,12.238,31.1215,
735,Wampis,Peru,PER,Vulnerable,8000,-3.4476,-77.7941,Departamentos de Amazonas  y Loreto; cuenca de  ríos Morona y Santiago.
2402,Wunai Bunu,China,CHN,Definitely endangered,8000,24.4146,107.8378,
739,Yanesha,Peru,PER,Severely endangered,8000,-10.3743,-75.2343,"Depto. de  Cerro de Pasco, Prov. de  Oxapampa, cuenca de  río Palcazu.
Depto. de Junín, Prov. de Chanchamayo, alto Perené."
1369,Mam (Mexico),Mexico,MEX,Severely endangered,7977,17.3661,-93.5334,"Locality of Chimalapa  and others in Municipality of  Mazapa de Madero, municipalities of Amatenango de la Frontera, Bejucal de Ocampo, Comalapa, Huehuetán, Mototzintla, and others in the state of Chiapas; municipalities of Campeche and Othón P. Blanco in the state of Campeche"
1318,Pana,Burkina Faso,BFA,Definitely endangered,7800,13.165,-3.4277,
1983,Macushi (Guyana),Guyana,GUY,Vulnerable,7750,3.6888,-59.4799,Rupununi savannahs in the southwestern part of Guyana. More in Roraima (Brazil).
466,Chukchi,Russian Federation,RUS,Severely endangered,7742,67.6248,176.1767,most parts of Chukchi Autonomous District and adjacent regions in Koryak Autonomous District and Lower Kolyma (Nizhnekolymskiy) County in the Republic of Sakha (Yakutia)
1875,Cabécar,Costa Rica,CRI,Vulnerable,7622,9.9012,-83.6844,Atlantic watershed and southern Pacific slopes of the Talamanca range in southern Costa Rica according to Constenla
593,Awa Cuaiquer,Colombia,COL,Critically endangered,7500,1.4939,-78.5742,"Mainly in the department of Nariño, adjacent to Ecuador, between Pasto and the  Pacific ocean"
2172,Lishana Deni (Israel),Israel,ISR,Severely endangered,7500,31.7748,35.1013,Jerusalem and  vicinity and in the rest of the country.  Population immigrated  from northwest Iraqi Kurdistan in early 1950's.
925,Central Pame,Mexico,MEX,Vulnerable,7399,21.9208,-99.3741,"Santa Catarina, Tamasopo (state of San Luis Potosí)"
309,Puinave,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Definitely endangered,7377,4.434,-68.1591,Colombia: On the Inirida river in the department of Guainía. Also in Guaviare and Vichada. Venezuela: In Atabapo (Amazonas).
1702,Mebengokre,Brazil,BRA,Vulnerable,7266,-6.5569,-52.4707,"Both the Kayapó and the Xikrin call themselves Mebengokre and speak dialects of the same language.  Older Xikrin don't consider themselves Kayapó.  The various village names (A'ukre, Gorotire, Kokrimoro, etc) are often confused with dialects or languages."
316,Tunebo,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Definitely endangered,7231,6.4463,-72.0483,"Departments of Boyacá (eastern slopes of the Siera Nevada del Cocuy), Norte de Santander, Casanare and Arauca (Colombia)."
1015,Quechua of Peruvian Amazonia,Peru,PER,Vulnerable,7200,-2.3723,-74.1137,"Preferentemente  en el Dpto. de  Loreto, pero también en algunas  zonas de  Madre de Dios."
1217,Asur,India,IND,Definitely endangered,7000,22.4719,84.9023,
2301,Bashkardi,Iran (Islamic Republic of),IRN,Definitely endangered,7000,28.5169,57.7551,"Eastern Hormozgan, Southern Kerman, and possibly southwestern Sistan and Baluchistan provinces."
91,Burji,Kenya,KEN,Vulnerable,7000,2.1857,37.9248,
2431,Choyi,China,CHN,Definitely endangered,7000,30.8519,99.6659,
2061,Gazi,Iran (Islamic Republic of),IRN,Definitely endangered,7000,32.8036,51.6211,"Gaz region, Iran"
2433,Guichong,China,CHN,Vulnerable,7000,30.8148,101.7021,
1332,Karagash,Russian Federation,RUS,Definitely endangered,7000,47.2643,47.2412,Krasnoyarskiy and Kharabali counties in Astrakhan Province; an outlying dialect of Nogay not listed at all by the SIL
1786,Natanzi,Iran (Islamic Republic of),IRN,Severely endangered,7000,33.452,51.3006,"Natanz, Isfahan Province, Iran"
1783,Nayini,Iran (Islamic Republic of),IRN,Severely endangered,7000,32.8519,53.1573,"Nayin and Anarak, Esfahan Province, Iran"
1439,Parya,"Uzbekistan, Tajikistan, Afghanistan","UZB, TJK, AFG",Severely endangered,7000,38.5094,68.0932,"Hissor Valley of western Tajikistan, Surkhandarya Valley of Uzbekistan and Kunduz region of Afghanistan"
103,Segeju,United Republic of Tanzania,TZA,Severely endangered,7000,-4.8173,39.0783,
1795,Sivandi,Iran (Islamic Republic of),IRN,Definitely endangered,7000,29.9168,51.5945,"Sivand, Fars Province , Iran"
2302,Soi,Iran (Islamic Republic of),IRN,Definitely endangered,7000,31.6533,55.6787,Central Iran
1852,Tucano (Brazil),Brazil,BRA,Vulnerable,7000,0.1757,-67.2363,"Tukano is spoken by various people who are not ethnically Tukano, increasing the speaker numbers"
320,Wapishana (Guyana),Guyana,GUY,Vulnerable,7000,2.3065,-59.6997,"Southwestern part of Guyana (area of Lethem, western tributaries of the Essequibo). State of Roraima, Brazil."
1739,Yulu,"Central African Republic, Democratic Republic of the Congo, Sudan","CAF, ZAI, SDN",Vulnerable,7000,8.3854,24.1754,
2438,Zhaba,China,CHN,Vulnerable,7000,31.4,100.4734,
1828,Sakapultek,Guatemala,GTM,Definitely endangered,6973,14.9752,-91.0527,Sacapulas
1677,Chara,Ethiopia,ETH,Vulnerable,6932,6.479,36.3647,
2339,Kosraean,"Micronesia (Federated States of), Nauru","FSM, NRU",Severely endangered,6900,5.322,162.9904,Also spoken on Nauru
1902,Waunana (Panama),Panama,PAN,Severely endangered,6882,8.2984,-78.1018,Southern Panama Lowlands
694,San Francisco del Mar Huave,Mexico,MEX,Critically endangered,6874,16.3333,-94.5166,"Municipality of San Francisco del Mar, state of Oaxaca"
692,Northern East Cree,Canada,CAN,Vulnerable,6870,53.6916,-78.8011,Spread over 5 communities in Canada
1317,Micmac (Canada),Canada,CAN,Vulnerable,6850,45.9646,-60.6172,Spread over 32 communities in Canada
2720,Northern Tepehuán,Mexico,MEX,Definitely endangered,6802,26.4258,-107.2683,Baborigame in the state of Chihuahua
1087,Miju,"China, India","CHN, IND",Vulnerable,6700,28.1155,96.2896,"Arunachal Pradesh, Lohit and Anjan districts"
879,Rio Grande Keresan,United States of America,USA,Definitely endangered,6685,35.5147,-106.3655,"Spoken in five pueblos north of Albuquerque, NM:  Zia, Santa Ana, San Felipe, Santo Domingo, and Cochiti."
1281,Western Mazatec,Mexico,MEX,Vulnerable,6639,18.1351,-96.9057,Municipalities of San Lucas Zoquiapan and San Martín Toxpalan
1676,Bussa,Ethiopia,ETH,Vulnerable,6624,5.7225,37.1406,
1694,Beli,Sudan,SDN,Definitely endangered,6600,6.4736,29.2675,
2444,Chesu,China,CHN,Definitely endangered,6600,24.4211,102.0459,
57,Thuri,Sudan,SDN,Vulnerable,6600,8.4397,25.4333,"Southern Sudan between Wau and Aweil, between Jur and Lol rivers, on Raga-Nyamlell road, and on Wau-Deim Zubeir road."
1053,Karata,Russian Federation,RUS,Definitely endangered,6574,42.5874,46.3348,"nine villages, including Karata and Tokita (Tukita), in Akhvakh County in the Republic of Daghestan"
2375,Saulteau,Canada,CAN,Vulnerable,6558,50.5573,-98.6562,Spread over 70 communities in Canada
1166,Kumāle,Nepal,NPL,Severely endangered,6533,27.788,84.548,Gorkhā district
929,Lower Northwestern Otomí,Mexico,MEX,Vulnerable,6509,20.1865,-100.1469,"Santiago Mexquititlán Municipality of Amealco, Querétaro"
83,Dimme,Ethiopia,ETH,Vulnerable,6501,5.9548,36.2988,
585,Chiquitano (Bolivia),Bolivia (Plurinational State of),BOL,Definitely endangered,6500,-16.5835,-61.6113,"In the department of Santa Cruz, Bolivia: provinces of Ñuflo de Chávez, Velasco, Chiquitos, A. Sandoval, Germán Busch.
In the state of Mato Grosso, Brazil. The most active speakers are in the Lomerío area, near the mission town of Concepción."
1729,Tumtum,Sudan,SDN,Severely endangered,6500,10.477,30.4321,
1042,Bezhta,Russian Federation,RUS,Definitely endangered,6461,42.1369,46.1508,"the villages of Bezhta, Tlyadal, and Khasharkhota in Tsunta County in the Republic of Daghestan"
1115,Thakali,Nepal,NPL,Vulnerable,6441,28.7146,83.6478,Kālī Gaṇḍakī river valley
74,Dongotono,Sudan,SDN,Vulnerable,6219,4.965,35.321,"Southern Sudan, 
Eastern Equatoria Province, 
Dongotono Hills southeast of Torit."
1763,Mawé,Brazil,BRA,Vulnerable,6219,-3.8642,-56.7773,
498,Shor,Russian Federation,RUS,Severely endangered,6210,53.0544,87.7478,the southern parts of Kemerovo Province and adjacent regions
992,Central Tlapanec,Mexico,MEX,Vulnerable,6191,17.2624,-98.7482,"Municipality of Tlacoapa, state of Guerrero"
2366,Oji-Cree,Canada,CAN,Vulnerable,6110,53.8141,-94.8977,Spread over 18 communities in Canada
65,Keiga,Sudan,SDN,Severely endangered,6072,11.3184,29.696,
2271,Ampibabo Lauje,Indonesia,IDN,Vulnerable,6000,0.3295,120.1904,Sulawesi
1631,Cashinahua (Brazil),Brazil,BRA,Vulnerable,6000,-9.2603,-71.5304,"The group lives in Indigenous Lands: Alto Rio Purus; Igarapé do Caucho; Katukina/Kaxinawá; Kaxinawá do Baixo Rio Jordão; Kaxinawá do Rio Humaitá; Kaxinawá do Baixo Rio Jordão; Kaxinawá do Seringal Curralinho; Kaxinawá Nova Olinda; Kaxinawá/ Ashaninka do Rio Breu - Acre State - Brazil.
Peru: villages Balta, Colombiana and San Martin
Brazil: Mucuripe
"
32,Geji cluster,Nigeria,NGA,Severely endangered,6000,10.196,9.5581,
1879,Mbya Guarani (Brazil),Brazil,BRA,Vulnerable,6000,-30.1451,-50.625,
1010,Moklen,"Myanmar, Thailand","MMR, THA",Definitely endangered,6000,8.1953,98.3036,
2624,Nauruan,Nauru,NRU,Severely endangered,6000,-0.53,166.9221,Nauru Island
1818,Nheengatu / Yeral (Brazil),Brazil,BRA,Severely endangered,6000,-0.4833,-67.0166,"There are a number of dialects of Nheengatu, the dialect of the Upper Rio Negro (the Middle Rio Negro is similar) being much more known."
2299,Parachi,Afghanistan,AFG,Definitely endangered,6000,34.4658,68.637,"Villages in Nijrau,Tagau, Pachaghan, Shutul, Ghujula in Hindu Kush Valley near Kabul. Afghanistan"
1014,Quechua of San Martín,Peru,PER,Severely endangered,6000,-6.5336,-76.4428,"En el departamento de  San Martín, provincia de  Lamas, poblado de Wayqo, entre otros."
1293,Sawkna,Libyan Arab Jamahiriya,LBY,Critically endangered,6000,27.252,17.7539,"According to Ethnologue, the language is spoken in the Tripolitania region."
1100,Sulung,"China, India","CHN, IND",Definitely endangered,6000,27.839,92.8784,"Arunachal Pradesh, northeast corner of East Kameng Dt."
1060,Tindi,Russian Federation,RUS,Definitely endangered,6000,42.466,46.1453,"the villages of Tindi, Angida, Aknada, Echeda, and Tissi in Tsumada County in the Republic of Daghestan"
785,Western Apache,United States of America,USA,Definitely endangered,6000,33.2563,-110.4637,"speakers are located in Arizona at five locations: San Carlos Apache Reservation, Ft. Apache Reservation, Tonto Reservation (Payson), Ft. McDowell Reservation (Scottsdale), Camp Verde Reservation"
323,Yanomami (Brazil),Brazil,BRA,Vulnerable,6000,3.0746,-63.457,
1460,Yazgulami,Tajikistan,TJK,Severely endangered,6000,38.1982,71.4276,"Yazgulam valley, Vanj district, Gorno Badakhshan Autonomous Region, Tajikistan"
432,Chantyal,Nepal,NPL,Definitely endangered,5912,28.4493,83.4054,Myāgdī district.
2341,Mortlockese,Micronesia (Federated States of),FSM,Definitely endangered,5904,5.5811,153.5668,Mortlock Islands
1767,Baníwa do Içana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)","BRA, COL, VEN",Vulnerable,5811,1.2743,-68.291,
285,"Akawaio (Guyana, Venezuela)","Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN",Definitely endangered,5800,5.3753,-60.5126,"Mainly in the Mazaruni River Basin (Guyana), also in Gran Sabana region of Venezuela (state of Bolívar)."
1039,Akhvakh,Russian Federation,RUS,Definitely endangered,5793,42.472,46.3238,"six villages in Akhvakh County and the villages of Ratlub, Tlyanub, and Tsegob in Kakhib County in the Republic of Daghestan in the Russian Federation; expatriate community of Akhvakh-dere in Kuba (Quba) County in Azerbaijan"
420,Veps,Russian Federation,RUS,Severely endangered,5753,60.3269,34.8046,"three dialect areas: Northern Veps:  the eastern part of Onega (Prionezhskiy) County in the Republic of Karelia; Central Veps: across the boundary of St. Petersburg (Leningrad) and Vologda provinces, mainly in the southern part of Podporozh’ye County, the eastern corner of Tikhvin County and the northeastern part of Boksitogorsk counties in St. Petersburg Province, and the western parts of Babayevo and Vytegra counties in Vologda Province; Southern Veps: the southeastern part of Boksitogorsk County"
2372,Qikiqtaaluk nigiani,Canada,CAN,Vulnerable,5740,63.7577,-68.5178,Spread over 5 communities in Canada
1829,Sipakapense,Guatemala,GTM,Definitely endangered,5687,15.2121,-91.6335,Sipacapa in the municipality of San Marcos
1871,Bribri (Costa Rica),Costa Rica,CRI,Vulnerable,5647,9.5596,-83.3073,"Southern Atlantic and Pacific slopes of Talamanca range according to Constenla; Cantón of Talamanca, Limón province; cantón of Buenos aires, Punta Arenas province according to Ethnologue"
1301,Bainouk-Gunyaamolo,Senegal,SEN,Vulnerable,5635,12.7421,-16.1141,
1305,Kwatay,Senegal,SEN,Severely endangered,5625,12.4204,-16.7596,
2248,Baheng (Viet Nam),Viet Nam,VNM,Vulnerable,5569,22.8166,106.35,
909,Central Zoque,Mexico,MEX,Definitely endangered,5500,17.0965,-93.2095,"Municipalities of Copainalá, Ostuacán, Tecpatlán, state of Chiapas"
1605,Dameli,Pakistan,PAK,Severely endangered,5500,35.578,71.8684,"Damel valley, sourthern Chitral district, NWFP, Pakistan"
1138,Sak (Bangladesh),Bangladesh,BGD,Severely endangered,5500,21.5041,92.2055,
1603,Yidgha,Pakistan,PAK,Definitely endangered,5500,36.0024,71.6006,"Lutkuh Valley of Chitral, west of Garam Chishma in Chitral district, NWFP, Pakistan"
1486,Southeastern Tarahumara,Mexico,MEX,Vulnerable,5406,26.0891,-106.9645,Localities of Chinatú and others in the municipality of Guadalupe y Calvo in the state of Chihuahua
634,Chimané,Bolivia (Plurinational State of),BOL,Vulnerable,5300,-15.2629,-66.8518,"Near San Borja, province of Ballivián, department of Bení (Bolivia)."
73,Dilling,Sudan,SDN,Definitely endangered,5295,12.0178,29.663,
851,San Dionisio del Mar Huave,Mexico,MEX,Definitely endangered,5165,16.3166,-94.75,"Municipality of San Dionisio del Mar, state of Oaxaca"
72,Lafofa,Sudan,SDN,Severely endangered,5140,10.3716,30.6243,
2220,Akeu,"Lao People's Democratic Republic, Myanmar, Thailand","LAO, MMR, THA",Definitely endangered,5000,21.5833,101.0166,
2429,Anung (China),China,CHN,Critically endangered,5000,26.7368,98.7766,
1040,Bagvalal,Russian Federation,RUS,Definitely endangered,5000,42.5247,46.192,"the villages of Khushtada, Tlondoda, Kvanada, and Gemerso in Tsumada County and the villages of Tlissi and Tlibisho in Akhvakh County as well as in a number of expatriate communities elsewhere in the Republic of Daghestan"
1671,Bambassi,Ethiopia,ETH,Definitely endangered,5000,9.7469,34.7662,
288,Barí,Colombia,COL,Vulnerable,5000,9.0261,-73.2678,"Sierra de Motilones and Catatumbo river area (state of Norte de Santander, Colombia; state of Zuilia, Venezuela)."
1435,Bartangi,Tajikistan,TJK,Severely endangered,5000,38.048,71.8286,Bartang valley of Rushan district in Gorno Badakhshan Autonomous Region of Tajikistan.
983,Bokar,"China, India","CHN, IND",Vulnerable,5000,28.8735,94.3807,"scattered villages in West Siang Dt., west of Tuting."
444,Brokpa,Bhutan,BTN,Definitely endangered,5000,27.3766,91.9981,"Sakteng valley, ’Wangdi Phodr’a district"
900,Creek,United States of America,USA,Definitely endangered,5000,35.6319,-95.9616,"In the  territory of the Muscogee (Creek) Nation (in 11 Counties in Oklahoma: Creek, Hughes (Tukvpvtce), Mayes, McIntosh, Muskogee, Okfuskee, Okmulgee, Rogers, Seminole, Tulsa, and Wagoner) and Seminole Nation in east-central Oklahoma (at Lat. N 35/08/41 Long. W 96/29/36), and on the Brighton Reservation in Florida (at Lat. N 27/04/50.34 Long. W 81/04/43.70).  "
2002,Cubeo (Colombia),Colombia,COL,Vulnerable,5000,1.5,-70.5,"Localizados en Colombia, Brasil y Venezuela. En Colombia se encuentran en el Departamento del vaupés a lo largo de los ríos Vaupés, Kaduyarí y Querarí."
450,Dagur (Hailar),China,CHN,Definitely endangered,5000,48.6111,119.7949,Ewenki Autonomous Banner in Hulun Buir League south of the city of Hailar
2524,Damal,Indonesia,IDN,Vulnerable,5000,-4.2806,137.0324,Irian Jaya
123,Dhaiso,United Republic of Tanzania,TZA,Definitely endangered,5000,-5.0745,38.4741,Bwiti and Magati villages
1206,Gorum,India,IND,Definitely endangered,5000,18.667,83.0346,"Orissa, Koraput Dt."
1922,Guarayu,Bolivia (Plurinational State of),BOL,Definitely endangered,5000,-15.919,-62.8747,
1597,Gutnish,Sweden,SWE,Definitely endangered,5000,57.3027,18.5284,"the south-east coast from Alskog till Burs of the main island of Gotland and, at least until recently, some parts of Fårö island off the main island; a regional language not recognized by the SIL"
870,Hopi,United States of America,USA,Vulnerable,5000,35.8721,-110.6205,"Spoken in the villages of First Mesa, Second Mesa, and Third Mesa."
30,Ilue,Nigeria,NGA,Critically endangered,5000,4.9185,8.2397,
1962,Jibbali,Oman,OMN,Severely endangered,5000,18.0623,52.4267,"within the Modern South Arabian group Jibbali is apart. Johnstone (1981) makes a distinction between the central, eastern and western dialects. 
Jibbali is spokeny ‘by a number of communities of different social status and tribal origin (Johnstone 1981). Location : Dhofar and coastal towns or villages of hte region :  Raysut, Salalah, Mirbat, Sidh. The islanders of Kuria Muria speak a dialect of Jibbali."
1602,Kalasha,Pakistan,PAK,Severely endangered,5000,35.6684,71.7201,"Southern Chitral District, NWFP, Pakistan"
117,Kami,United Republic of Tanzania,TZA,Severely endangered,5000,-6.8937,37.1337,
529,Kathu,China,CHN,Definitely endangered,5000,24.136,105.249,
2068,Khojki,Oman,OMN,Severely endangered,5000,23.6193,58.5653,"The Matrah harbor area of Muscat, primarily within Sur Lawatiya, an old walled quarter facing the harbor, but now in other areas of the capital.  "
128,Khwe,Namibia,NAM,Definitely endangered,5000,-18.271,21.4892,"Pointer at centre of settlement area. Spoken at about 60 different settlemants in Caprivi Strip of Namibia, Ngamiland of Botswana, and at Plattfontein near Kimberley in South Africa. Some few Khwe live in the area along the Zambian-Angolan border. Major settlements in Namibia: Mutc'iku (1100), Omega (630), Chetto 590), Omega III (640), in Botswana: Gudigoa (650), Shadikarawe (367), Kaputura (240), Bietc'a (210, Ngarange (140)."
1188,Kom,India,IND,Definitely endangered,5000,24.0414,93.6639,"Manipur, Churachandandpur, Tamenglong and Senapati districts"
2183,Korandje,Algeria,DZA,Severely endangered,5000,29.4049,-3.2605,"Tabelbala, Ksar Sidi Zekri (Kora in Korandje) and Ksar Cheraïa (Ifrenio), as well as Sidi Makhlouf (Yami)."
531,Lachi,Viet Nam,VNM,Definitely endangered,5000,22.5,104.1333,
2426,Mak,China,CHN,Definitely endangered,5000,25.5532,107.3809,
709,Manihiki,Cook Islands,COK,Definitely endangered,5000,-10.4,-161,Rakahanga and Manihiki Islands
